Index,Timestamp,Symbol,Action,LotID,Amount,Quantity,LimitPrice,TakeProfit,StopLoss,Ready
167,2023-04-24 09:19,SOXL,TRADE,,"$100,000",,14.7,15.3,14.3,YES
168,2023-04-25 09:20,QQQ,TRADE,,"$100,000",,313.2,315.5,312.4,YES
169,2023-04-25 09:20,SPY,TRADE,,"$100,000",,410.4,412.3,410.0,YES
170,2023-04-25 09:20,LABU,TRADE,,"$100,000",,5.67,5.89,5.6,YES
171,2023-04-25 09:20,SOXL,TRADE,,"$100,000",,14.2,14.7,14.0,YES
172,2023-04-26 09:19,QQQ,TRADE,,"$100,000",,310.4,314.0,309.0,YES
173,2023-04-26 09:19,TQQQ,TRADE,,"$100,000",,25.1,26.1,24.8,YES
174,2023-04-26 09:19,SPY,TRADE,,"$100,000",,405.4,407.8,405.0,YES
175,2023-04-26 09:19,SOXL,TRADE,,"$100,000",,13.1,13.5,13.0,YES
176,2023-04-26 09:19,LABU,TRADE,,"$100,000",,5.4,5.66,5.3,YES
177,2023-04-27 09:18,TQQQ,TRADE,,"$100,000",,26.0,26.6,25.7,YES
178,2023-04-27 09:18,SPY,TRADE,,"$100,000",,405.8,407.7,404.0,YES
179,2023-04-27 09:18,SOXL,TRADE,,"$100,000",,13.1,13.6,13.0,YES
180,2023-04-27 09:18,LABU,TRADE,,"$100,000",,5.4,5.6,5.3,YES
181,2023-04-28 09:20,QQQ,TRADE,,"$100,000",,319.0,320.9,318.5,YES
182,2023-04-28 09:20,TQQQ,TRADE,,"$100,000",,27.3,28.0,27.0,YES
183,2023-04-28 09:20,SPY,TRADE,,"$100,000",,410.6,412.9,409.0,YES
184,2023-04-28 09:20,SOXL,TRADE,,"$100,000",,13.3,13.8,13.1,YES
185,2023-05-01 09:19,QQQ,TRADE,,"$100,000",,320.5,321.6,319.7,YES
186,2023-05-01 09:19,TQQQ,TRADE,,"$100,000",,27.8,28.2,25.0,YES
187,2023-05-01 09:19,SPY,TRADE,,"$100,000",,413.9,416.0,412.5,YES
188,2023-05-01 09:19,LABU,TRADE,,"$100,000",,5.3,5.7,5.1,YES
189,2023-05-02 09:19,TQQQ,TRADE,,"$100,000",,27.8,28.3,27.0,YES
190,2023-05-02 09:19,LABU,TRADE,,"$100,000",,5.66,6.1,5.4,YES
191,2023-05-03 09:24,TQQQ,TRADE,,"$100,000",,27.3,27.8,26.9,YES
192,2023-05-04 09:23,QQQ,TRADE,,"$100,000",,315.7,317.6,314.5,YES
193,2023-05-05 09:20,TQQQ,TRADE,,"$100,000",,26.8,27.2,26.0,YES
194,2023-05-08 09:23,QQQ,TRADE,,"$100,000",,320.8,323.2,318.0,YES
195,2023-05-08 09:23,TQQQ,TRADE,,"$100,000",,27.8,28.4,27.4,YES
196,2023-05-08 09:23,SPY,TRADE,,"$100,000",,411.8,414.6,410.0,YES
197,2023-05-08 09:23,LABU,TRADE,,"$100,000",,6.2,6.8,6.0,YES
198,2023-05-09 09:20,SPY,TRADE,,"$100,000",,410.4,412.1,408.0,YES
199,2023-05-09 09:20,LABU,TRADE,,"$100,000",,6.23,6.5,6.0,YES
200,2023-05-09 09:20,SOXL,TRADE,,"$100,000",,13.9,14.34,13.7,YES
201,2023-05-10 09:24,TQQQ,TRADE,,"$100,000",,27.9,29.4,27.0,YES
202,2023-05-11 09:22,TQQQ,TRADE,,"$100,000",,28.1,29.5,27.7,YES
203,2023-05-11 09:22,SPY,TRADE,,"$100,000",,410.5,412.3,408.9,YES
204,2023-05-11 09:22,SOXL,TRADE,,"$100,000",,13.9,14.3,13.6,YES
205,2023-05-11 09:22,LABU,TRADE,,"$100,000",,6.8,7.2,6.7,YES
206,2023-05-12 09:20,QQQ,TRADE,,"$100,000",,325.2,328.1,324.0,YES
207,2023-05-12 09:20,TQQQ,TRADE,,"$100,000",,28.8,30.6,28.3,YES
208,2023-05-12 09:20,SPY,TRADE,,"$100,000",,411.3,413.8,410.0,YES
209,2023-05-12 09:20,LABU,TRADE,,"$100,000",,6.8,7.0,6.5,YES
210,2023-05-12 09:20,SOXL,TRADE,,"$100,000",,13.93,14.4,13.5,YES
211,2023-05-15 09:18,QQQ,TRADE,,"$100,000",,325.0,326.1,324.0,YES
212,2023-05-15 09:18,TQQQ,TRADE,,"$100,000",,28.7,29.2,28.3,YES
213,2023-05-15 09:18,SPY,TRADE,,"$100,000",,411.4,413.5,410.8,YES
214,2023-05-15 09:18,SOXL,TRADE,,"$100,000",,13.9,14.4,13.4,YES
215,2023-05-15 09:18,LABU,TRADE,,"$100,000",,6.55,6.8,6.4,YES
216,2023-05-17 09:16,QQQ,TRADE,,"$100,000",,325.8,328.5,324.8,YES
217,2023-05-17 09:16,TQQQ,TRADE,,"$100,000",,28.8,29.6,28.0,YES
218,2023-05-17 09:16,LABU,TRADE,,"$100,000",,6.43,6.7,6.2,YES
219,2023-05-17 09:16,TSLA,TRADE,,"$100,000",,164.7,170.3,163.8,YES
220,2023-05-18 09:20,QQQ,TRADE,,"$100,000",,328.1,331.5,327.0,YES
221,2023-05-18 09:20,TQQQ,TRADE,,"$100,000",,29.5,30.8,29.2,YES
222,2023-05-18 09:20,SPY,TRADE,,"$100,000",,413.9,416.0,410.9,YES
223,2023-05-18 09:20,SOXL,TRADE,,"$100,000",,15.7,16.4,15.4,YES
224,2023-05-19 09:17,QQQ,TRADE,,"$100,000",,335.5,339.0,334.8,YES
225,2023-05-19 09:17,SPY,TRADE,,"$100,000",,418.0,421.5,416.7,YES
226,2023-05-19 09:17,TQQQ,TRADE,,"$100,000",,31.5,32.6,31.1,YES
227,2023-05-19 09:17,LABU,TRADE,,"$100,000",,6.38,6.6,6.1,YES
228,2023-05-19 09:17,SOXL,TRADE,,"$100,000",,16.7,17.7,16.3,YES
229,2023-05-22 09:19,SPY,TRADE,,"$100,000",,418.0,419.2,416.8,YES
230,2023-05-22 09:19,LABU,TRADE,,"$100,000",,6.44,6.7,6.2,YES
231,2023-05-23 09:15,TQQQ,TRADE,,"$100,000",,31.4,31.9,30.8,YES
232,2023-05-23 09:15,SOXL,TRADE,,"$100,000",,17.2,17.5,16.7,YES
233,2023-05-24 09:19,QQQ,TRADE,,"$100,000",,330.8,332.0,329.5,YES
234,2023-05-24 09:19,TQQQ,TRADE,,"$100,000",,30.0,30.5,29.6,YES
235,2023-05-24 09:19,SPY,TRADE,,"$100,000",,411.5,413.2,410.0,YES
236,2023-05-24 09:19,LABU,TRADE,,"$100,000",,6.8,7.0,6.6,YES
237,2023-05-25 09:10,TQQQ,TRADE,,"$100,000",,30.8,32.4,30.0,YES
238,2023-05-25 09:10,LABU,TRADE,,"$100,000",,6.5,6.8,6.3,YES
239,2023-05-26 09:16,QQQ,TRADE,,"$100,000",,337.7,342.4,336.4,YES
240,2023-05-26 09:16,TQQQ,TRADE,,"$100,000",,32.0,33.0,31.6,YES
241,2023-05-26 09:16,SPY,TRADE,,"$100,000",,412.4,415.5,412.0,YES
242,2023-05-26 09:16,SOXL,TRADE,,"$100,000",,19.6,20.4,19.3,YES
